Geography,Name,Level,Year,poverty.rate
NYC,New York City,City,2021,18.00%
BX,The Bronx,Boro,2021,26.40%
BK,Brooklyn,Boro,2021,19.20%
MN,Manhattan,Boro,2021,17.30%
QN,Queens,Boro,2021,13.50%
SI,Staten Island,Boro,2021,11.50%
BX 01,Mott Haven,Community District,2021,36.60%
BX 01,Melrose,Community District,2021,36.60%
BX 02,Hunts Point,Community District,2021,36.60%
BX 02,Longwood,Community District,2021,36.60%
BX 03,Morrisania,Community District,2021,35.80%
BX 03,Crotona,Community District,2021,35.80%
BX 04,Highbridge,Community District,2021,28.30%
BX 04,Concourse,Community District,2021,28.30%
BX 05,Fordham,Community District,2021,33.70%
BX 05,University Heights,Community District,2021,33.70%
BX 06,Belmont,Community District,2021,35.80%
BX 06,East Tremont,Community District,2021,35.80%
BX 07,Bedford,Community District,2021,27.10%
BX 07,Kingsbridge Heights,Community District,2021,27.10%
BX 08,Fieldston,Community District,2021,18.60%
BX 08,Riverdale,Community District,2021,18.60%
BX 09,Soundview,Community District,2021,26.70%
BX 09,Parkchester,Community District,2021,26.70%
BX 10,Co-op City,Community District,2021,14.00%
BX 10,Throgs Neck,Community District,2021,14.00%
BX 11,Morris Park,Community District,2021,18.80%
BX 11,Bronxdale,Community District,2021,18.80%
BX 12,Baychester,Community District,2021,17.70%
BX 12,Williamsbridge,Community District,2021,17.70%
BK 01,Greenpoint,Community District,2021,18.80%
BK 01,Williamsburg,Community District,2021,18.80%
BK 02,Fort Greene,Community District,2021,12.50%
BK 02,Brooklyn Heights,Community District,2021,12.50%
BK 03,Bedford Stuyvesant,Community District,2021,24.20%
BK 04,Bushwick,Community District,2021,24.20%
BK 05,East New York,Community District,2021,19.20%
BK 05,Starrett City,Community District,2021,19.20%
BK 06,Carroll Gardens,Community District,2021,7.20%
BK 06,Park Slope,Community District,2021,7.20%
BK 07,Sunset Park,Community District,2021,22.90%
BK 08,Crown Heights,Community District,2021,14.80%
BK 08,Prospect Heights,Community District,2021,14.80%
BK 09,South Crown Heights,Community District,2021,22.40%
BK 09,Lefferts Gardens,Community District,2021,22.40%
BK 10,Bay Ridge,Community District,2021,15.70%
BK 10,Dyker Heights,Community District,2021,15.70%
BK 11,Bensonhurst,Community District,2021,23.10%
BK 12,Borough Park,Community District,2021,23.80%
BK 13,Coney Island,Community District,2021,24.10%
BK 14,Midwood,Community District,2021,16.60%
BK 14,Flatbush,Community District,2021,16.60%
BK 15,Sheepshead Bay,Community District,2021,19.10%
BK 16,Brownsville,Community District,2021,28.80%
BK 17,East Flatbush,Community District,2021,17.60%
BK 18,Canarsie,Community District,2021,12.10%
BK 18,Flatlands,Community District,2021,12.10%
MN 01,Financial District,Community District,2021,7.80%
MN 02,Greenwich Village,Community District,2021,7.80%
MN 02,Soho,Community District,2021,7.80%
MN 03,Chinatown,Community District,2021,24.20%
MN 03,Lower East Side,Community District,2021,24.20%
MN 04,Clinton,Community District,2021,15.30%
MN 04,Chelsea,Community District,2021,15.30%
MN 05,Midtown,Community District,2021,15.30%
MN 06,Turtle Bay,Community District,2021,8.50%
MN 06,Stuyvesant Town,Community District,2021,8.50%
MN 07,Upper West Side,Community District,2021,10.40%
MN 08,Upper East Side,Community District,2021,10.00%
MN 09,Morningside Heights,Community District,2021,25.30%
MN 09,Hamilton,Community District,2021,25.30%
MN 10,Central Harlem,Community District,2021,28.40%
MN 11,East Harlem,Community District,2021,31.20%
MN 12,Washington Heights,Community District,2021,21.00%
MN 12,Inwood,Community District,2021,21.00%
QN 01,Astoria,Community District,2021,14.00%
QN 02,Sunnyside,Community District,2021,8.90%
QN 02,Woodside,Community District,2021,8.90%
QN 03,Jackson Heights,Community District,2021,13.70%
QN 04,Elmhurst,Community District,2021,14.60%
QN 04,Corona,Community District,2021,14.60%
QN 05,Ridgewood,Community District,2021,13.90%
QN 05,Maspeth,Community District,2021,13.90%
QN 06,Rego Park,Community District,2021,8.60%
QN 06,Forest Hills,Community District,2021,8.60%
QN 07,Flushing,Community District,2021,17.10%
QN 07,Whitestone,Community District,2021,17.10%
QN 08,Hillcrest,Community District,2021,13.50%
QN 08,Fresh Meadows,Community District,2021,13.50%
QN 09,Kew Gardens,Community District,2021,14.80%
QN 09,Woodhaven,Community District,2021,14.80%
QN 10,South Ozone Park,Community District,2021,10.60%
QN 10,Howard Beach,Community District,2021,10.60%
QN 11,Bayside,Community District,2021,9.30%
QN 11,Little Neck,Community District,2021,9.30%
QN 12,Jamaica,Community District,2021,15.20%
QN 12,Hollis,Community District,2021,15.20%
QN 13,Queens Village,Community District,2021,8.30%
QN 14,Rockaway,Community District,2021,23.80%
QN 14,Broad Channel,Community District,2021,23.80%
SI 01,St. George,Community District,2021,16.70%
SI 01,Stapleton,Community District,2021,16.70%
SI 02,South Beach,Community District,2021,11.60%
SI 02,Willowbrook,Community District,2021,11.60%
SI 03,Great Kills,Community District,2021,6.00%
SI 03,Tottenville,Community District,2021,6.00%